id,name,artist,duration_ms,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genres
1bHmG5T09F57GNAYh5tUav,Butter Chicken,OOHYO,308908,False,45,0.438,0.447,4,-8.757,0,0.0298,0.765,0.00144,0.0965,0.168,129.858,4,"k-indie,korean electropop"
1scqbAkj5hVAKbipvkmuVh,Это пройдёт,Pornofilmy,236026,True,57,0.504,0.827,0,-3.823,0,0.206,0.00367,0.0,0.408,0.723,165.192,4,"russian pop punk,russian punk,russian punk rock,russian rock"
2J5swcF6FrSCsji2VRjpqx,Knucklehugs (Arm Yourself With Love),Diablo Swing Orchestra,146866,False,32,0.603,0.945,0,-3.377,1,0.104,0.00941,0.00286,0.1,0.902,149.984,4,"jazz metal,opera metal,steampunk,swedish metal,symphonic metal"
7HCUnUFKw3TmYowjaYfawy,The Age Of Vulture Culture,Diablo Swing Orchestra,300080,False,37,0.428,0.882,4,-3.723,0,0.078,0.0134,0.00141,0.318,0.489,110.324,4,"jazz metal,opera metal,steampunk,swedish metal,symphonic metal"
2nYwBcAlpyI4DWy69CRgtR,Superhero Jagganath,Diablo Swing Orchestra,341373,False,37,0.5,0.859,7,-4.785,1,0.0517,0.00363,0.00487,0.374,0.687,166.017,4,"jazz metal,opera metal,steampunk,swedish metal,symphonic metal"
3RJtaxRtxOvvIj6DESm4gh,A Tapdancer's Dilema,Diablo Swing Orchestra,312333,False,34,0.662,0.767,2,-6.484,1,0.0653,0.00637,0.746,0.0688,0.54,110.06,4,"jazz metal,opera metal,steampunk,swedish metal,symphonic metal"
1fx8T2d1mpd0DKXnHPIcDK,Balrog Boogie,Diablo Swing Orchestra,233133,False,0,0.576,0.927,1,-5.673,0,0.065,0.00408,0.0542,0.688,0.316,90.732,4,"jazz metal,opera metal,steampunk,swedish metal,symphonic metal"
2hQzCXo7p6YL73zpcNy6qv,Photosynthesis,Korantemaa,202106,False,39,0.671,0.125,5,-14.246,0,0.0626,0.9,0.0,0.0989,0.504,81.118,4,
2l2J1WVVzKRToOm0R2lhZ9,Se Me Va A Quemar El Corazón,Mon Laferte,238560,False,60,0.573,0.236,6,-8.913,1,0.0428,0.883,8.4e-05,0.112,0.269,139.282,4,"latin,latin alternative,latin pop"
2TPZomzhdB7toV3cx0hj08,Pa’ Dónde Se Fue,Mon Laferte,249266,False,52,0.335,0.837,9,-4.437,0,0.0546,0.377,0.132,0.334,0.608,177.709,4,"latin,latin alternative,latin pop"
28t8Ow6Bc8ULVPAeiJqXAj,"La Vie En Rose - En Vivo, Desde El Lunario del Auditorio Nacional",Mon Laferte,259640,False,37,0.431,0.363,10,-7.886,0,0.0664,0.675,3.99e-06,0.466,0.209,169.959,3,"latin,latin alternative,latin pop"
6gDloBsChfvckkZ01XVrqY,Si Tú Me Quisieras,Mon Laferte,202333,False,0,0.313,0.746,5,-6.352,1,0.138,0.469,0.0,0.375,0.614,209.439,4,"latin,latin alternative,latin pop"
0u13src3QcditRU5VPduML,Amárrame,Mon Laferte,207333,False,0,0.676,0.676,5,-4.563,0,0.0391,0.216,0.00141,0.107,0.824,90.039,4,"latin,latin alternative,latin pop"
2wUlHVuuqLlLBZRUTe50ni,No Te Fumes Mi Mariguana,Mon Laferte,270173,False,0,0.549,0.779,5,-4.099,1,0.0439,0.204,0.000484,0.116,0.643,142.993,4,"latin,latin alternative,latin pop"
7HI2Q54BmnCniHN1wvhLjf,Amor Completo,Mon Laferte,241880,False,0,0.389,0.408,4,-8.941,1,0.0273,0.662,4.78e-05,0.107,0.365,175.565,3,"latin,latin alternative,latin pop"
3iBOe7U7kRPNIoL3QLCVu2,La thune,Angèle,201906,True,59,0.702,0.593,11,-8.339,1,0.0532,0.526,1.09e-05,0.112,0.522,145.039,4,"belgian pop,variete francaise"
2jX5c5RFp0A9E1GDsvGxIa,Balance ton quoi,Angèle,189480,False,69,0.703,0.442,0,-10.383,1,0.0823,0.594,2.39e-05,0.276,0.381,115.932,4,"belgian pop,variete francaise"
1UQKfmCH2wxVXTAVMUXiEj,La loi de Murphy,Angèle,195173,False,55,0.354,0.734,2,-8.452,0,0.471,0.142,4.41e-05,0.144,0.259,191.141,4,"belgian pop,variete francaise"
4hdyFykOmKceaOJ15dTmVP,Les champs de roses,Danakil,232186,False,50,0.814,0.553,0,-5.997,1,0.164,0.062,0.0,0.159,0.622,140.04,4,"electro dub,french reggae"
5PNmLOkhsm69IfOdHknhmR,Love Song for the Haters,Fleece,278968,False,50,0.362,0.519,3,-7.032,1,0.0359,0.606,0.000582,0.0872,0.318,117.638,4,"neo-psychedelic,psychedelic pop"
60FAXgsRDr9OAy4XFAUCKR,Pho,Mr GISCARD,176106,True,49,0.846,0.317,2,-11.59,1,0.0575,0.726,0.019,0.118,0.517,110.014,4,
65h4yduK6bShDuahteRxgR,À peu près,Pomme,206106,False,53,0.456,0.658,9,-7.036,0,0.0336,0.407,5.78e-06,0.2,0.289,96.339,3,"french indie pop,french pop,nouvelle chanson francaise"
