"","id","genres","danceability","energy","speechiness","acousticness","instrumentalness","valence","tempo"
"143","0hx6wJdPlMpT254F9UYQNu","indie rock,modern alternative rock,modern rock,rock",0.371,0.15,0.0294,0.963,0,0.0785,0.137965902266237
"144","02djsJAroBTBfuC9vEm3ZD","indie rock,modern alternative rock,modern rock,rock",0.535,0.287,0.0311,0.854,0.0107,0.19,0.451451788844084
"145","1KTzdWEz3dgoYwSZDD7kEW","indie rock,modern alternative rock,modern rock,rock",0.455,0.578,0.0297,0.0217,0.879,0.12,0.27406268001814
"146","5LDMrFh5ZiqzUFLEVo7tjm","indie rock,modern alternative rock,modern rock,rock",0.298,0.638,0.0344,7.85e-05,0.117,0.215,0.596373285614482
"147","6MUmOqr4xP2fwgCjR2BTLn","indie rock,modern alternative rock,modern rock,rock",0.668,0.733,0.0329,0.000953,0.252,0.44,0.445838287023986
"148","1LomCMl5wD3MPVlC6smUHe","indie rock,modern alternative rock,modern rock,rock",0.604,0.789,0.0273,0.0011,0.828,0.348,0.464345683854441
"149","6RExQcl7BFkVmUEo1zf6QW","indie rock,modern alternative rock,modern rock,rock",0.37,0.869,0.035,4.61e-06,0.922,0.0847,0.648328818835873
"150","05I2kbWf5P3xdCVQve7apz","indie rock,modern alternative rock,modern rock,rock",0.745,0.837,0.0308,0.0217,0.000969,0.662,0.35686183186459
"151","72h0tXbdWtDs8fem7NFEhu","indie rock,modern alternative rock,modern rock,rock",0.11,0.692,0.0576,0.00811,0.578,0.07,0.156191398350268
"152","1W5yUCcUuktqC5IWCYLSwf","indie rock,modern alternative rock,modern rock,rock",0.326,0.439,0.035,0.157,0.000116,0.0875,0.469616002157154
"153","2GUZjmCBU4UVoVVN5S2BVF","indie rock,modern alternative rock,modern rock,rock",0.582,0.59,0.0487,0.0011,0.326,0.32,0.672553898197061
"154","7oaEjLP2dTJLJsITbAxTOz","electro,filter house",0.29,0.412,0.0458,0.477,0.0839,0.12,0.271347853264533
"155","1NeLwFETswx8Fzxl2AFl91","electro,filter house",0.875,0.475,0.0986,0.44,0.72,0.384,0.329070095233426
"156","1pKYYY0dkg23sQQXi0Q5zN","electro,filter house",0.956,0.795,0.15,0.00356,0.889,0.841,0.459823015357462
"157","0MyY4WcN7DIfbSmp5yej5z","electro,filter house",0.806,0.7,0.0752,0.00196,0.891,0.892,0.398056110505093
"158","186hvCTyrni4KT9nwIQ7zS","electro,filter house",0.619,0.739,0.0792,0.00405,0.00346,0.675,0.579820809177708
"159","6vuPZX9fWESg5js2JFTQRJ","electro,filter house",0.696,0.75,0.0721,0.0035,0.922,0.937,0.476700290480334
"160","5W3cjX2J3tjhG8zb6u0qHn","electro,filter house",0.817,0.716,0.144,0.0427,0.00263,0.692,0.473188787704225
"161","2VEZx7NWsZ1D0eJ4uv5Fym","electro,filter house",0.644,0.664,0.0333,0.0481,0.862,0.53,0.480855262351543
"162","0DiWol3AO6WpXZgp0goxAV","electro,filter house",0.611,0.697,0.133,0.0193,0,0.476,0.468758043363689
"163","3H3cOQ6LBLSvmcaV7QkZEu","electro,filter house",0.624,0.911,0.0524,0.328,0.861,0.135,0.469677284928115
"164","1iNeZGJsoC0D7ZyJTdIbDS","electro,filter house",0.812,0.516,0.224,0.000369,1.09e-05,0.633,0.497842846462146
"165","7LL40F6YdZgeiQ6en1c7Lk","electro,filter house",0.59,0.787,0.0512,6.94e-06,0.845,0.598,0.402413315520475
"166","2KHRENHQzTIQ001nlP9Gdc","electro,filter house",0.4,0.756,0.0492,0.00282,0.753,0.0924,0.475352069519175
"167","69kOkLUCkxIZYexIgSG8rq","electro,filter house",0.81,0.793,0.0403,0.0378,1.82e-06,0.863,0.427680201988013
"168","2cGxRwrMyEAp8dEbuZaVv6","electro,filter house",0.775,0.585,0.0271,0.0422,0.619,0.518,0.390254813761659
"169","5CMjjywI0eZMixPeqNd75R","electro,filter house",0.832,0.659,0.057,0.0839,0.00114,0.674,0.330326392038142
"170","0oks4FnzhNp5QPTZtoet7c","electro,filter house",0.74,0.682,0.0504,0.0692,0.53,0.41,0.4102268688181
